LOD_HIGH 详细测试报告
================

波形文件: picorv32
测试信号: testbench.top.uut.picorv32_core.clk
LoD: 10 (bucket_size=1024)
起始时间: 0
tile_span: 262144 (256 个 bucket)
tiles 数量: 2

信号 0:
  总 transitions: 106

  详细 transactions:
  Index  Bucket Index         Transition Time      Value                         
  ------ -------------------- -------------------- ------------------------------
  0      MAX (Start)          MAX (u64::MAX)       Numeric("X")                  
  1      0                    0                    Numeric("1")                  
  2      4                    4096                 Numeric("0")                  
  3      9                    9216                 Numeric("1")                  
  4      14                   14336                Numeric("0")                  
  5      19                   19456                Numeric("1")                  
  6      24                   24576                Numeric("0")                  
  7      29                   29696                Numeric("1")                  
  8      34                   34816                Numeric("0")                  
  9      39                   39936                Numeric("1")                  
  10     43                   44032                Numeric("0")                  
  11     48                   49152                Numeric("1")                  
  12     53                   54272                Numeric("0")                  
  13     58                   59392                Numeric("1")                  
  14     63                   64512                Numeric("0")                  
  15     68                   69632                Numeric("1")                  
  16     73                   74752                Numeric("0")                  
  17     78                   79872                Numeric("1")                  
  18     83                   84992                Numeric("0")                  
  19     87                   89088                Numeric("1")                  
  20     92                   94208                Numeric("0")                  
  21     97                   99328                Numeric("1")                  
  22     102                  104448               Numeric("0")                  
  23     107                  109568               Numeric("1")                  
  24     112                  114688               Numeric("0")                  
  25     117                  119808               Numeric("1")                  
  26     122                  124928               Numeric("0")                  
  27     126                  129024               Numeric("1")                  
  28     131                  134144               Numeric("0")                  
  29     136                  139264               Numeric("1")                  
  30     141                  144384               Numeric("0")                  
  31     146                  149504               Numeric("1")                  
  32     151                  154624               Numeric("0")                  
  33     156                  159744               Numeric("1")                  
  34     161                  164864               Numeric("0")                  
  35     166                  169984               Numeric("1")                  
  36     170                  174080               Numeric("0")                  
  37     175                  179200               Numeric("1")                  
  38     180                  184320               Numeric("0")                  
  39     185                  189440               Numeric("1")                  
  40     190                  194560               Numeric("0")                  
  41     195                  199680               Numeric("1")                  
  42     200                  204800               Numeric("0")                  
  43     205                  209920               Numeric("1")                  
  44     209                  214016               Numeric("0")                  
  45     214                  219136               Numeric("1")                  
  46     219                  224256               Numeric("0")                  
  47     224                  229376               Numeric("1")                  
  48     229                  234496               Numeric("0")                  
  49     234                  239616               Numeric("1")                  
  50     239                  244736               Numeric("0")                  
  51     244                  249856               Numeric("1")                  
  52     249                  254976               Numeric("0")                  
  53     253                  259072               Numeric("1")                  
  54     258                  264192               Numeric("0")                  
  55     263                  269312               Numeric("1")                  
  56     268                  274432               Numeric("0")                  
  57     273                  279552               Numeric("1")                  
  58     278                  284672               Numeric("0")                  
  59     283                  289792               Numeric("1")                  
  60     288                  294912               Numeric("0")                  
  61     292                  299008               Numeric("1")                  
  62     297                  304128               Numeric("0")                  
  63     302                  309248               Numeric("1")                  
  64     307                  314368               Numeric("0")                  
  65     312                  319488               Numeric("1")                  
  66     317                  324608               Numeric("0")                  
  67     322                  329728               Numeric("1")                  
  68     327                  334848               Numeric("0")                  
  69     332                  339968               Numeric("1")                  
  70     336                  344064               Numeric("0")                  
  71     341                  349184               Numeric("1")                  
  72     346                  354304               Numeric("0")                  
  73     351                  359424               Numeric("1")                  
  74     356                  364544               Numeric("0")                  
  75     361                  369664               Numeric("1")                  
  76     366                  374784               Numeric("0")                  
  77     371                  379904               Numeric("1")                  
  78     375                  384000               Numeric("0")                  
  79     380                  389120               Numeric("1")                  
  80     385                  394240               Numeric("0")                  
  81     390                  399360               Numeric("1")                  
  82     395                  404480               Numeric("0")                  
  83     400                  409600               Numeric("1")                  
  84     405                  414720               Numeric("0")                  
  85     410                  419840               Numeric("1")                  
  86     415                  424960               Numeric("0")                  
  87     419                  429056               Numeric("1")                  
  88     424                  434176               Numeric("0")                  
  89     429                  439296               Numeric("1")                  
  90     434                  444416               Numeric("0")                  
  91     439                  449536               Numeric("1")                  
  92     444                  454656               Numeric("0")                  
  93     449                  459776               Numeric("1")                  
  94     454                  464896               Numeric("0")                  
  95     458                  468992               Numeric("1")                  
  96     463                  474112               Numeric("0")                  
  97     468                  479232               Numeric("1")                  
  98     473                  484352               Numeric("0")                  
  99     478                  489472               Numeric("1")                  
  100    483                  494592               Numeric("0")                  
  101    488                  499712               Numeric("1")                  
  102    493                  504832               Numeric("0")                  
  103    498                  509952               Numeric("1")                  
  104    502                  514048               Numeric("0")                  
  105    507                  519168               Numeric("1")                  
